Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Distance_3D,LOS,Building_Height_Avg,Azimuth_Deg,Elevation_Deg,Path_Loss_dB
1,139.776199,35.694046,59.99,139.769494,35.691418,1.56,673.783,1,9.802,-158.595,4.956,102.756
2,139.751249,35.695704,31.84,139.764055,35.685828,1.27,1592.238,1,19.205,-37.64,1.1,108.509
2,139.774919,35.690254,25.28,139.771872,35.696781,1.32,775.179,1,18.061,115.025,1.77,109.681
1,139.76714,35.696261,31.65,139.751881,35.695706,1.95,1377.188,0,42.465,-177.915,1.236,126.62
1,139.768224,35.689945,56.04,139.778338,35.683672,1.9,1148.544,0,65.681,-31.808,2.699,116.565
1,139.765695,35.699133,30.08,139.766427,35.693103,1.35,673.2,1,14.73,-83.073,2.444,103.931
3,139.776234,35.695053,41.76,139.765084,35.698133,1.06,1062.503,0,38.057,164.56,2.194,123.659
3,139.751303,35.683423,39.67,139.758725,35.688712,1.83,891.016,1,12.814,35.475,2.432,109.074
3,139.757831,35.696592,48.3,139.750102,35.698495,1.91,729.561,1,12.507,166.163,3.638,102.58
2,139.776273,35.691032,26.91,139.751837,35.680439,1.84,2497.164,1,7.442,-156.564,0.575,108.894
3,139.77257,35.699689,48.06,139.75789,35.690325,1.91,1683.354,1,20.957,-147.466,1.57,110.392
2,139.750529,35.694376,37.42,139.766246,35.685125,1.58,1750.199,0,42.04,-30.481,1.173,120.332
2,139.76551,35.681688,57.41,139.752507,35.685243,1.84,1238.245,0,45.506,164.707,2.57,109.334
3,139.765887,35.687899,54.71,139.779162,35.697551,1.94,1607.101,0,27.598,36.021,1.881,113.652
2,139.762026,35.690346,38.98,139.762329,35.68623,1.89,459.136,1,19.241,-85.798,4.619,90.323
3,139.758922,35.69678,59.75,139.75949,35.680467,1.59,1812.471,0,20.107,-88.007,1.838,125.399
3,139.770452,35.694587,26.82,139.765756,35.690794,1.75,597.579,1,11.271,-141.07,2.402,100.328
1,139.756234,35.687387,52.6,139.75195,35.699417,1.72,1391.004,0,23.795,109.602,2.095,112.989
3,139.773968,35.693069,40.18,139.775514,35.681582,1.8,1283.188,1,9.968,-82.339,1.713,106.243
1,139.774091,35.691538,40.17,139.763808,35.685726,1.23,1130.079,1,11.279,-150.523,1.973,95.069
3,139.762458,35.682521,30.95,139.75535,35.68939,1.0,996.456,1,21.142,135.979,1.722,109.993
3,139.758506,35.684697,43.02,139.754852,35.69661,1.51,1363.342,0,57.232,107.055,1.744,134.242
1,139.758516,35.686822,27.97,139.760829,35.685378,1.77,264.301,1,20.478,-31.994,5.661,95.642
1,139.764469,35.68391,46.58,139.767201,35.686874,1.13,413.51,0,69.352,47.331,6.273,132.896
3,139.771587,35.683003,33.46,139.762507,35.68769,1.53,970.537,1,7.653,152.697,1.884,106.491
2,139.760766,35.681164,50.37,139.767904,35.687593,1.31,962.182,1,11.065,42.008,2.919,105.689
1,139.768301,35.697462,46.26,139.771164,35.684007,1.84,1516.307,0,23.779,-77.988,1.678,132.649
2,139.761475,35.685779,51.12,139.772455,35.698313,1.1,1708.293,1,15.426,48.782,1.677,108.73
2,139.759136,35.685806,51.24,139.762029,35.695858,1.85,1146.893,1,15.619,73.944,2.466,104.08
2,139.750746,35.684125,31.88,139.77151,35.699513,1.61,2534.415,1,11.952,36.542,0.684,113.419
1,139.750117,35.689508,25.02,139.754245,35.68742,1.92,439.012,1,13.293,-26.833,3.013,101.029
2,139.756816,35.690285,37.8,139.765393,35.680906,1.94,1297.282,0,20.164,-47.558,1.584,130.014
1,139.762192,35.684166,57.17,139.752175,35.68231,1.81,927.945,1,18.577,-169.505,3.414,104.94
2,139.775538,35.692171,45.23,139.757323,35.68715,1.53,1734.636,1,10.298,-164.587,1.443,121.343
3,139.773955,35.69446,50.46,139.767496,35.698221,1.14,718.166,1,20.544,149.786,3.929,102.145
3,139.758015,35.687477,55.78,139.772213,35.699622,1.23,1859.757,0,43.516,40.544,1.68,130.597
1,139.757336,35.691709,56.71,139.752859,35.69644,1.42,664.614,0,35.882,133.42,4.756,109.301
3,139.75682,35.690046,43.52,139.756212,35.684769,1.73,589.843,1,13.779,-96.567,4.052,95.385
3,139.760177,35.683911,43.93,139.779757,35.693194,1.54,2044.47,1,9.135,25.366,1.188,117.983
2,139.764946,35.6946,54.78,139.76013,35.691932,1.44,528.26,1,23.751,-151.015,5.766,101.837
1,139.76316,35.696029,53.26,139.758521,35.696465,1.48,424.133,1,22.923,174.631,6.961,93.403
2,139.756548,35.692976,49.46,139.752558,35.690195,1.74,476.414,0,30.253,-145.128,5.72,120.772
2,139.753914,35.686478,46.16,139.770845,35.686363,1.03,1527.228,1,23.365,-0.39,1.692,117.084
2,139.750377,35.698536,46.6,139.765248,35.680386,1.44,2420.288,0,22.263,-50.673,1.069,122.867
2,139.754619,35.689107,37.7,139.754727,35.695901,1.57,754.99,1,15.444,89.092,2.74,97.153
2,139.771161,35.685318,54.43,139.768987,35.690605,1.59,621.01,1,9.195,112.348,4.864,96.301
2,139.757309,35.688165,46.62,139.765773,35.690684,1.62,813.902,1,9.078,16.575,3.165,108.939
2,139.764058,35.693842,32.82,139.766948,35.699141,1.05,644.176,0,45.986,61.393,2.823,112.337
1,139.767739,35.696919,33.39,139.779846,35.689725,1.56,1352.673,0,55.935,-30.72,1.348,126.062
3,139.776605,35.687132,55.16,139.750858,35.686316,1.55,2323.611,0,61.474,-178.186,1.322,117.961
2,139.776666,35.684652,46.9,139.777449,35.686797,1.85,252.329,1,13.076,69.928,10.122,94.793
2,139.772372,35.69253,38.95,139.775257,35.680235,1.76,1389.791,0,40.458,-76.796,1.533,124.647
2,139.751055,35.698424,31.55,139.76246,35.682447,1.03,2050.174,1,20.576,-54.478,0.853,115.904
2,139.767252,35.683666,46.36,139.776428,35.680876,1.56,884.517,0,52.75,-16.91,2.9,122.589
2,139.773598,35.69606,31.45,139.769457,35.684865,1.69,1297.855,1,22.971,-110.297,1.314,102.513
2,139.750519,35.689532,41.46,139.776681,35.681293,1.58,2529.999,0,38.607,-17.481,0.903,137.069
3,139.766491,35.69599,48.71,139.767842,35.686622,1.68,1048.007,1,19.845,-81.791,2.57,113.588
3,139.775733,35.690111,44.79,139.756484,35.682523,1.12,1929.408,1,19.913,-158.484,1.297,112.769
2,139.764223,35.687547,57.27,139.767287,35.698358,1.17,1232.762,0,65.605,74.18,2.606,122.962
3,139.750123,35.693935,26.39,139.755372,35.698768,1.58,715.731,1,15.426,42.638,1.985,101.604
1,139.75033,35.698013,34.79,139.754225,35.692069,1.8,748.037,1,13.053,-56.765,2.525,100.101
2,139.762499,35.686405,27.0,139.769622,35.69611,1.03,1254.376,1,6.942,53.723,1.186,110.954
1,139.75465,35.689215,31.81,139.778424,35.693544,1.44,2196.733,1,21.696,10.321,0.792,113.268
1,139.769934,35.684588,29.34,139.767655,35.696222,1.99,1307.917,0,67.471,101.082,1.198,128.652
2,139.771264,35.683668,50.64,139.773874,35.692796,1.77,1041.311,1,24.782,74.045,2.687,106.194
3,139.755336,35.695558,37.93,139.755051,35.688604,1.45,773.176,1,10.977,-92.351,2.701,93.025
1,139.776656,35.684013,57.38,139.769626,35.697475,1.1,1624.092,0,55.056,117.573,1.985,122.812
2,139.763257,35.695866,25.82,139.771989,35.688761,1.36,1114.543,1,13.329,-39.134,1.257,109.504
1,139.754285,35.688584,47.85,139.751248,35.687924,1.15,287.249,1,14.554,-167.737,9.234,92.853
1,139.772928,35.699901,58.97,139.752915,35.692488,1.92,1983.601,0,66.221,-159.674,1.647,128.321
1,139.773699,35.683947,31.15,139.773447,35.698759,1.69,1644.531,1,10.475,90.974,1.027,106.418
1,139.769179,35.68186,40.49,139.763199,35.688844,1.86,945.139,0,49.884,130.571,2.34,112.839
3,139.775604,35.681509,49.57,139.762167,35.691499,1.9,1643.052,0,39.519,143.369,1.662,120.561
1,139.772121,35.696708,47.16,139.777611,35.689847,1.61,909.449,1,19.891,-51.337,2.867,113.852
1,139.776466,35.688756,44.81,139.779759,35.698195,1.01,1089.867,0,27.226,70.769,2.302,129.018
1,139.763017,35.680062,36.44,139.772932,35.693535,1.56,1742.62,1,15.629,53.649,1.147,109.845
3,139.772428,35.697495,50.49,139.773778,35.688392,1.8,1018.968,1,15.446,-81.566,2.735,99.854
1,139.779993,35.697538,47.86,139.75625,35.692138,1.31,2223.13,1,16.416,-167.186,1.2,118.458
1,139.771748,35.696128,30.7,139.755767,35.683121,1.93,2039.802,1,11.293,-140.858,0.808,116.066
3,139.753426,35.684966,58.74,139.77942,35.686839,2.0,2353.544,1,19.364,4.12,1.381,125.362
3,139.76555,35.687455,44.45,139.770853,35.694724,1.55,938.816,0,30.652,53.885,2.616,118.575
3,139.76762,35.694899,43.39,139.770601,35.691248,1.53,488.021,1,11.578,-50.767,4.903,100.861
1,139.755226,35.689787,54.69,139.758586,35.686285,1.66,495.583,1,8.834,-46.188,6.108,104.776
3,139.778887,35.683077,47.41,139.776594,35.687246,1.57,508.929,1,8.211,118.802,5.148,98.064
3,139.755267,35.684856,27.61,139.751333,35.696196,1.16,1307.995,0,21.862,109.134,1.158,102.56
1,139.755327,35.699452,42.73,139.758238,35.690818,1.27,994.526,0,54.306,-71.369,2.387,127.121
3,139.777455,35.68302,52.32,139.755404,35.684775,1.2,1998.282,0,27.136,175.45,1.465,129.307
1,139.763956,35.694522,49.5,139.771333,35.685936,1.07,1163.065,0,65.433,-49.33,2.384,122.63
2,139.751896,35.68956,58.98,139.77146,35.689358,1.14,1764.923,1,16.417,-0.594,1.877,108.509
3,139.767946,35.694972,25.87,139.766042,35.695257,1.97,176.126,1,21.518,171.494,7.728,93.455
2,139.768055,35.693222,34.14,139.750158,35.699949,1.55,1778.086,1,5.017,159.401,1.05,113.283
1,139.751935,35.688783,44.22,139.776213,35.683715,1.13,2260.277,1,8.235,-11.792,1.092,110.568
3,139.779176,35.687078,46.68,139.778668,35.695099,1.71,892.571,1,22.08,93.625,2.884,102.959
1,139.766321,35.695087,34.6,139.756069,35.692344,1.48,973.564,1,23.736,-165.021,1.949,105.275
2,139.766794,35.686463,53.94,139.775267,35.690624,1.22,894.237,1,15.22,26.155,3.374,104.054
1,139.765603,35.695755,30.75,139.779199,35.699329,1.94,1288.469,1,18.865,14.728,1.281,106.525
3,139.768322,35.693597,25.03,139.759809,35.686455,1.22,1103.594,1,8.123,-140.005,1.236,97.128
3,139.757929,35.691553,58.33,139.755552,35.68354,1.1,916.775,1,18.429,-106.523,3.572,110.559
2,139.758617,35.687376,38.7,139.779326,35.697552,1.21,2182.437,0,27.655,26.168,0.984,131.377
1,139.76534,35.684102,58.51,139.751792,35.681374,1.91,1259.708,0,49.436,-168.616,2.573,123.163
3,139.774201,35.694208,34.73,139.758279,35.696342,1.86,1455.098,1,20.662,172.366,1.294,108.401
2,139.751496,35.681827,27.22,139.772261,35.691785,1.89,2174.281,0,29.518,25.62,0.667,125.41
3,139.768102,35.699411,52.04,139.768521,35.68328,1.92,1791.614,1,24.6,-88.514,1.602,108.909
3,139.774203,35.699575,54.25,139.770535,35.684547,1.08,1701.361,0,26.355,-103.717,1.79,121.339
1,139.754708,35.682604,42.22,139.771243,35.683117,1.71,1492.466,0,21.955,1.775,1.555,136.359
3,139.750451,35.682079,27.58,139.770584,35.694367,1.66,2270.758,0,54.297,31.397,0.654,132.504
1,139.759381,35.688254,47.89,139.760267,35.682946,1.99,596.357,1,10.962,-80.526,4.401,104.743
3,139.767644,35.699274,31.38,139.759345,35.693627,1.71,976.398,1,11.781,-145.771,1.74,105.545
2,139.754148,35.688006,54.73,139.762854,35.682563,1.79,991.884,0,29.05,-32.016,3.055,123.976
3,139.762784,35.687276,34.59,139.774231,35.696045,1.71,1419.01,1,19.504,37.455,1.327,103.24
1,139.76657,35.694072,54.67,139.778148,35.69839,1.62,1149.793,1,24.217,20.453,2.642,98.385
1,139.767966,35.683575,39.94,139.763657,35.691186,1.55,930.726,0,67.264,119.515,2.362,115.111
2,139.758232,35.687266,45.88,139.752573,35.699324,1.97,1432.982,1,24.555,115.144,1.755,100.487
3,139.762001,35.685826,52.63,139.778149,35.687808,1.94,1473.258,0,23.645,6.996,1.971,119.739
3,139.77335,35.692031,26.42,139.752413,35.684892,1.44,2047.238,1,7.803,-161.173,0.699,111.741
2,139.778236,35.683255,53.74,139.754773,35.683546,1.28,2116.339,1,20.442,179.29,1.42,110.512
3,139.775856,35.690974,29.85,139.77603,35.689579,1.51,158.17,1,21.601,-82.892,10.159,90.868
3,139.766929,35.697151,37.54,139.766544,35.682615,1.75,1614.264,1,11.756,-91.514,1.27,109.088
1,139.762309,35.690283,41.55,139.760581,35.697516,1.4,818.76,1,24.339,103.439,2.807,102.883
3,139.759989,35.69367,56.34,139.777927,35.695695,1.54,1633.608,0,57.402,6.442,1.921,120.973
3,139.753749,35.681505,25.79,139.778815,35.691242,1.3,2505.327,0,53.456,21.229,0.56,134.584
2,139.753197,35.68898,44.57,139.759923,35.694429,1.43,857.577,1,11.894,39.012,2.88,105.372
2,139.770651,35.681898,47.49,139.776053,35.681,1.96,499.23,0,49.066,-9.439,5.211,109.902
1,139.757794,35.691989,36.08,139.770356,35.68407,1.21,1433.994,1,8.976,-32.227,1.393,108.238
3,139.75764,35.685621,35.17,139.758235,35.692424,1.99,757.779,1,7.633,85.003,2.507,102.746
3,139.779946,35.685745,42.17,139.778243,35.689549,1.22,451.159,1,17.277,114.115,5.186,95.379
3,139.755638,35.681535,31.55,139.751892,35.692092,1.32,1219.91,1,10.978,109.535,1.419,106.847
1,139.754442,35.686205,41.38,139.759538,35.681779,1.09,673.826,1,17.272,-40.968,3.422,100.075
1,139.752961,35.690134,51.78,139.761888,35.693048,1.75,868.862,1,11.309,18.083,3.295,102.622
2,139.767394,35.691693,54.59,139.77072,35.696072,1.02,573.603,0,57.705,52.788,5.336,106.584
1,139.768836,35.681333,38.48,139.751153,35.690926,1.79,1917.526,1,13.432,151.522,1.096,115.188
3,139.760957,35.693029,46.61,139.776693,35.687148,1.58,1562.267,0,36.624,-20.492,1.651,130.171
3,139.766062,35.689778,25.0,139.769773,35.683493,1.75,774.0,1,12.495,-59.44,1.721,104.522
1,139.773652,35.690738,44.26,139.758251,35.685307,1.78,1514.277,0,51.981,-160.575,1.607,124.893
3,139.774543,35.696656,59.13,139.76975,35.690451,1.12,815.144,0,35.601,-127.682,4.071,126.84
3,139.778737,35.686845,35.93,139.766108,35.68511,1.02,1155.324,1,19.573,-172.182,1.731,111.013
1,139.774728,35.683481,45.82,139.760088,35.695559,1.17,1881.891,0,42.844,140.477,1.359,138.637
1,139.766945,35.691036,51.68,139.750858,35.682635,1.38,1724.978,0,22.528,-152.425,1.67,126.829
3,139.75539,35.6989,46.31,139.766533,35.690328,1.07,1384.329,1,11.83,-37.569,1.872,99.42
3,139.752993,35.690357,39.65,139.752465,35.689919,1.46,78.001,1,6.943,-140.29,26.087,82.85
3,139.751635,35.696638,30.34,139.774305,35.682778,1.29,2558.138,0,32.113,-31.442,0.651,117.414
2,139.769996,35.695141,41.23,139.752656,35.6999,1.36,1650.477,1,14.531,164.653,1.384,106.225
2,139.774226,35.690367,35.32,139.762862,35.696463,1.94,1228.231,1,24.672,151.789,1.557,103.192
2,139.765261,35.692951,49.36,139.763037,35.687731,1.72,615.02,1,15.638,-113.075,4.429,97.295
1,139.751641,35.688134,40.47,139.766686,35.693698,1.66,1490.866,0,67.996,20.298,1.491,107.615
2,139.766064,35.690613,54.75,139.751185,35.694332,1.65,1404.45,1,22.257,165.966,2.165,105.031
1,139.778072,35.690146,31.77,139.756115,35.693023,1.56,2005.348,1,23.947,172.535,0.863,103.005
1,139.767928,35.694182,39.62,139.755985,35.68865,1.51,1240.08,1,8.519,-155.145,1.76,116.56
2,139.774283,35.6882,44.51,139.767969,35.697702,1.88,1199.332,1,7.64,123.601,2.036,104.816
2,139.774005,35.681995,29.41,139.757909,35.695431,1.08,2081.09,0,64.357,140.147,0.78,122.316
2,139.777964,35.695774,45.58,139.754326,35.69084,1.29,2200.57,1,17.235,-168.21,1.153,117.542
3,139.773107,35.693697,35.18,139.750551,35.680051,1.1,2535.782,0,27.679,-148.827,0.77,123.128
2,139.772431,35.699002,33.03,139.775216,35.684467,1.01,1633.117,0,61.476,-79.152,1.123,136.003
3,139.757023,35.688574,29.97,139.779146,35.690177,1.01,2002.636,0,34.019,4.142,0.828,128.503
1,139.751798,35.681564,37.25,139.771098,35.697979,1.02,2519.742,1,8.464,40.381,0.824,109.52
3,139.765528,35.682432,57.51,139.762381,35.692572,1.68,1162.09,0,59.543,107.24,2.751,124.767
2,139.753733,35.695466,26.09,139.75366,35.688357,1.11,789.537,1,22.557,-90.586,1.812,104.976
1,139.778866,35.681355,54.83,139.764253,35.680958,1.2,1319.345,1,5.373,-178.444,2.327,109.516
1,139.758698,35.698157,38.91,139.76372,35.691946,1.42,825.605,1,21.759,-51.042,2.6,114.307
1,139.775588,35.685633,44.66,139.762596,35.687015,1.27,1182.129,1,24.033,173.928,2.102,107.985
3,139.761629,35.697978,42.95,139.761349,35.690748,1.82,803.984,1,12.327,-92.215,2.929,105.512
2,139.759696,35.69547,57.4,139.764903,35.695329,1.62,472.935,1,10.696,-1.555,6.726,96.334
1,139.778055,35.697424,51.95,139.752195,35.696075,1.33,2336.423,0,47.88,-177.013,1.241,122.111
1,139.7609,35.684281,59.47,139.751149,35.697286,1.32,1691.16,1,5.8,126.862,1.969,119.344
1,139.761709,35.691914,52.81,139.751919,35.692721,1.68,888.564,1,18.53,175.287,3.293,108.549
3,139.753183,35.681872,35.36,139.756,35.698112,1.17,1820.832,0,29.519,80.159,1.076,133.702
3,139.770113,35.684046,58.7,139.758342,35.693813,1.28,1518.215,1,22.897,140.317,2.166,106.304
2,139.758665,35.686198,59.42,139.755084,35.695678,1.35,1102.262,0,37.064,110.696,3.016,128.743
3,139.767568,35.694816,29.31,139.757558,35.69371,1.45,911.176,1,24.458,-173.692,1.751,105.199
1,139.767741,35.680494,56.54,139.755575,35.697437,1.19,2177.872,0,67.668,125.679,1.456,133.242
2,139.771576,35.698062,48.25,139.754522,35.684458,1.16,2155.426,1,21.011,-141.419,1.252,112.85
1,139.772357,35.681416,57.27,139.758789,35.695198,1.99,1959.516,0,62.269,134.552,1.616,120.66
1,139.765434,35.68753,57.05,139.761925,35.682343,1.91,659.188,0,65.637,-124.074,4.781,115.201
3,139.75993,35.681622,56.2,139.772328,35.68184,1.52,1119.449,1,24.012,1.008,2.796,103.721
2,139.775124,35.695379,55.98,139.778666,35.689832,1.77,695.731,1,19.554,-57.432,4.456,94.877
3,139.759296,35.682826,29.12,139.777569,35.686005,1.67,1685.081,1,13.013,9.867,0.933,112.207
3,139.765225,35.697695,30.02,139.764278,35.691267,1.08,719.179,1,22.25,-98.383,2.305,99.163
2,139.762038,35.690604,29.12,139.76384,35.693555,1.52,366.629,1,10.436,58.573,4.306,90.203
1,139.775652,35.698969,28.19,139.753771,35.684531,1.18,2541.598,0,23.335,-146.582,0.609,134.936
1,139.762958,35.685807,37.36,139.779152,35.693999,1.58,1720.401,0,59.337,26.83,1.191,138.739
2,139.761583,35.689086,48.94,139.772803,35.699909,1.06,1571.202,1,19.66,43.968,1.745,109.222
1,139.770695,35.693885,37.41,139.775427,35.695199,1.16,452.316,0,66.302,15.52,4.582,114.241
2,139.768073,35.696638,50.21,139.757025,35.683476,1.78,1768.872,0,51.236,-130.009,1.568,136.906
2,139.753217,35.688427,53.71,139.762033,35.692674,1.84,925.467,0,68.609,25.723,3.208,121.733
3,139.765245,35.697849,48.32,139.753079,35.68019,1.91,2246.55,0,33.937,-124.564,1.183,132.389
2,139.772064,35.68236,41.28,139.778224,35.689394,1.9,959.027,1,18.85,48.792,2.352,101.821
3,139.779762,35.694174,35.34,139.758575,35.690666,1.91,1949.561,0,41.166,-170.6,0.983,130.357
1,139.768874,35.686964,29.35,139.76788,35.699448,1.09,1388.859,1,10.531,94.553,1.166,109.992
1,139.761109,35.682027,42.28,139.754567,35.694744,1.66,1530.451,1,10.434,117.223,1.52,106.96
1,139.756785,35.687733,50.19,139.774084,35.694119,1.7,1713.835,0,46.676,20.261,1.62,130.314
1,139.776185,35.697604,44.19,139.75559,35.690648,1.27,2011.106,0,42.756,-161.337,1.223,131.734
3,139.774437,35.699611,50.25,139.774282,35.690264,1.99,1038.751,0,42.818,-90.953,2.66,121.297
1,139.757018,35.687856,36.73,139.762053,35.699842,1.29,1406.169,1,21.936,67.213,1.444,112.531
2,139.756019,35.697728,27.34,139.767333,35.680425,1.57,2174.766,0,32.051,-56.821,0.679,122.217
2,139.771454,35.690193,51.99,139.758091,35.686064,1.87,1289.902,0,36.046,-162.829,2.225,127.001
2,139.759449,35.69434,32.69,139.776483,35.682676,1.29,2008.885,1,12.085,-34.402,0.896,112.356
3,139.759192,35.680907,46.57,139.772796,35.686299,1.61,1365.557,1,8.048,21.621,1.886,116.322
1,139.754569,35.691146,53.15,139.760628,35.689272,1.72,586.789,1,16.829,-17.184,5.009,102.055
1,139.757919,35.681403,29.87,139.767561,35.686839,1.63,1058.542,0,41.868,29.412,1.528,112.887
1,139.762825,35.685372,45.95,139.75387,35.699254,1.41,1740.171,0,41.128,122.827,1.466,121.038
3,139.771985,35.691336,49.13,139.754814,35.693612,1.94,1569.162,1,15.722,172.451,1.722,112.487
2,139.760089,35.696143,51.13,139.76601,35.694561,1.61,564.094,1,24.204,-14.962,5.017,106.406
2,139.759858,35.691218,30.17,139.769218,35.694846,1.22,935.418,1,24.646,21.187,1.772,108.32
1,139.758547,35.698724,53.88,139.766723,35.697985,1.81,743.347,0,58.082,-5.167,4.007,107.898
2,139.764349,35.696207,28.3,139.766782,35.69536,1.66,240.137,1,6.462,-19.174,6.33,105.978
2,139.755419,35.683125,43.19,139.772269,35.680324,1.11,1551.219,0,59.817,-9.437,1.554,120.689
3,139.764569,35.687779,40.52,139.777072,35.685228,1.28,1162.926,0,43.362,-11.533,1.933,124.9
3,139.771125,35.69337,32.76,139.761628,35.699782,1.16,1113.847,0,52.834,145.974,1.625,111.591
3,139.750894,35.698768,35.57,139.766108,35.693042,1.07,1511.952,1,17.757,-20.623,1.307,112.002
3,139.750293,35.699754,30.76,139.776791,35.681362,1.23,3142.23,0,28.474,-34.765,0.538,128.453
1,139.752254,35.695264,39.9,139.763928,35.689333,1.28,1241.98,1,8.614,-26.931,1.781,108.785
3,139.76607,35.691475,26.24,139.763354,35.699617,1.47,936.58,1,6.992,108.445,1.515,104.439
2,139.775634,35.695132,56.11,139.772995,35.699857,1.97,578.374,1,18.659,119.179,5.348,104.654
1,139.750147,35.685465,30.72,139.776319,35.688649,1.94,2386.15,1,8.522,6.937,0.691,126.664
2,139.7781,35.685672,56.01,139.77213,35.697861,1.75,1457.109,0,67.016,116.094,2.132,114.741
2,139.753188,35.693087,55.23,139.753004,35.69184,1.65,149.37,0,46.993,-98.421,19.733,113.993
2,139.77526,35.697437,40.81,139.763943,35.690189,1.95,1299.774,1,18.473,-147.36,1.713,110.18
3,139.764486,35.699396,42.42,139.756359,35.688239,1.14,1439.486,1,13.626,-126.068,1.643,119.774
3,139.769781,35.686827,35.57,139.75952,35.697843,1.33,1533.625,1,23.308,132.966,1.279,108.454
1,139.76532,35.695931,59.89,139.764063,35.692423,1.55,409.793,1,22.049,-109.723,8.102,96.952
1,139.764311,35.697031,48.48,139.756646,35.686676,1.81,1341.909,0,65.175,-126.513,1.992,127.468
3,139.775047,35.692463,58.31,139.765478,35.689839,1.62,912.278,1,10.546,-164.661,3.556,99.15
2,139.772677,35.686952,39.52,139.769298,35.688882,1.81,374.26,1,24.699,150.264,5.753,91.96
1,139.764502,35.692382,55.91,139.776247,35.689023,1.15,1123.853,1,15.483,-15.959,2.789,110.381
3,139.753349,35.691689,40.69,139.756344,35.686232,1.19,664.322,0,64.989,-61.242,3.402,120.599
3,139.753462,35.692131,55.34,139.759317,35.692659,1.74,533.766,1,21.819,5.159,5.734,98.268
3,139.774046,35.692385,29.58,139.762174,35.681045,1.35,1652.525,0,23.132,-136.312,0.979,129.125
2,139.765882,35.696941,47.29,139.756736,35.697723,1.44,830.228,0,63.151,175.112,3.161,130.678
3,139.764448,35.683402,48.75,139.759961,35.688308,1.79,680.012,1,8.477,132.441,3.951,93.39
3,139.770417,35.687346,47.97,139.776501,35.696017,1.07,1108.81,1,24.16,54.948,2.422,103.602
3,139.775765,35.69172,40.65,139.75416,35.69459,1.17,1974.03,1,13.004,172.434,1.146,122.117
3,139.768866,35.685667,48.94,139.763312,35.689437,1.3,654.328,1,23.872,145.827,4.164,97.026
1,139.772885,35.699563,33.38,139.759329,35.683974,1.88,2118.592,1,22.553,-131.011,0.852,113.437
1,139.772958,35.685263,45.85,139.752315,35.691244,1.4,1976.518,0,54.989,163.841,1.288,123.663
3,139.760688,35.689393,44.4,139.752884,35.698961,1.25,1274.76,0,23.844,129.2,1.939,133.778
2,139.758222,35.697547,36.14,139.773546,35.683715,1.68,2065.574,1,16.532,-42.07,0.956,113.971
1,139.774035,35.681601,52.26,139.77557,35.68512,1.03,417.557,1,9.88,66.432,6.995,101.659
3,139.761315,35.696414,27.83,139.772242,35.69986,1.78,1057.003,0,50.146,17.505,1.412,124.878
